futures_id,date,institutional_investors,long_deal_volume,long_deal_amount,short_deal_volume,short_deal_amount,long_open_interest_balance_volume,long_open_interest_balance_amount,short_open_interest_balance_volume,short_open_interest_balance_amount,contract,source,contract_date,open,max,min,close,spread,spread_per,volume,settlement_price,open_interest,trading_session
MTX,2026-05-25,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202606W1/202606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,after_market
MTX,2026-05-25,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202607/202703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,after_market
MTX,2026-05-25,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202605W4,43002.0,43713.0,42879.0,43713.0,1368.0,3.23,244.0,43685.0,153.0,position
MTX,2026-05-25,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202606W1,42921.0,43728.0,42921.0,43728.0,1486.0,3.52,4.0,43728.0,11.0,position
MTX,2026-05-25,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202606,43183.0,44050.0,43001.0,43880.0,1425.0,3.36,136514.0,43870.0,32079.0,position
MTX,2026-05-25,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202607,43194.0,44055.0,43012.0,43882.0,1422.0,3.35,4685.0,43863.0,3331.0,position
MTX,2026-05-25,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202608,43339.0,44200.0,43339.0,43998.0,1403.0,3.29,109.0,44046.0,147.0,position
MTX,2026-05-25,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202609,43441.0,44300.0,43439.0,44139.0,1454.0,3.41,200.0,44139.0,2053.0,position
MTX,2026-05-25,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202612,43879.0,44780.0,43879.0,44566.0,1389.0,3.22,170.0,44629.0,648.0,position
MTX,2026-05-25,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202703,44537.0,45350.0,44458.0,45191.0,1379.0,3.15,51.0,45249.0,268.0,position
MTX,2026-05-25,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202605W4/202606,164.0,315.0,164.0,170.0,0.0,0.0,71.0,0.0,0.0,position
MTX,2026-05-25,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202606/202607,4.0,12.0,4.0,12.0,0.0,0.0,52.0,0.0,0.0,position
MTX,2026-05-25,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202606/202608,173.0,173.0,173.0,173.0,0.0,0.0,1.0,0.0,0.0,position
MTX,2026-05-25,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202606/202609,254.0,254.0,254.0,254.0,0.0,0.0,5.0,0.0,0.0,position
MTX,2026-05-25,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202606/202612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,position
MTX,2026-05-25,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202606/202703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,position
MTX,2026-05-25,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202606W1/202606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,position
MTX,2026-05-25,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202607/202609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,position
MTX,2026-05-25,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202607/202703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,position
MTX,2026-05-26,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202605W4,43761.0,44148.0,43651.0,44148.0,463.0,1.06,95.0,0.0,0.0,after_market
MTX,2026-05-26,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202606W1,43745.0,44235.0,43745.0,44200.0,472.0,1.08,6.0,0.0,0.0,after_market
MTX,2026-05-26,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202606,43845.0,44393.0,43806.0,44386.0,516.0,1.18,69108.0,0.0,0.0,after_market
MTX,2026-05-26,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202607,43870.0,44393.0,43810.0,44388.0,525.0,1.2,3550.0,0.0,0.0,after_market
MTX,2026-05-26,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202608,44113.0,44559.0,44000.0,44555.0,509.0,1.16,99.0,0.0,0.0,after_market
MTX,2026-05-26,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202609,44141.0,44621.0,44099.0,44621.0,482.0,1.09,90.0,0.0,0.0,after_market
MTX,2026-05-26,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202612,44670.0,45125.0,44600.0,45124.0,495.0,1.11,38.0,0.0,0.0,after_market
MTX,2026-05-26,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202703,45200.0,45782.0,45200.0,45700.0,451.0,1.0,24.0,0.0,0.0,after_market
MTX,2026-05-26,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202605W4/202606,211.0,275.0,175.0,208.0,0.0,0.0,29.0,0.0,0.0,after_market
MTX,2026-05-26,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202606/202607,7.0,7.0,0.0,1.0,0.0,0.0,37.0,0.0,0.0,after_market
MTX,2026-05-26,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202606/202608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,after_market
MTX,2026-05-26,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202606/202609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,after_market
MTX,2026-05-26,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202606/202612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,after_market
MTX,2026-05-26,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202606/202703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,after_market
MTX,2026-05-26,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202606W1/202606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,after_market
MTX,2026-05-26,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202607/202608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,after_market
MTX,2026-05-26,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202607/202703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,after_market
MTX,2026-05-26,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202605W4,43989.0,44000.0,43467.0,43621.0,-64.0,-0.15,79.0,43665.0,156.0,position
MTX,2026-05-26,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202606W1,44111.0,44111.0,43715.0,43715.0,-13.0,-0.03,6.0,43715.0,11.0,position
MTX,2026-05-26,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202606,44256.0,44271.0,43622.0,43895.0,25.0,0.06,131486.0,43864.0,33195.0,position
MTX,2026-05-26,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202607,44315.0,44315.0,43633.0,43892.0,29.0,0.07,3151.0,43864.0,3250.0,position
MTX,2026-05-26,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202608,44504.0,44504.0,43820.0,44053.0,7.0,0.02,103.0,44081.0,158.0,position
MTX,2026-05-26,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202609,44555.0,44555.0,43900.0,44165.0,26.0,0.06,129.0,44148.0,2063.0,position
MTX,2026-05-26,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202612,45000.0,45000.0,44461.0,44466.0,-163.0,-0.37,49.0,44661.0,662.0,position
MTX,2026-05-26,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202703,45700.0,45700.0,45050.0,45205.0,-44.0,-0.1,10.0,45294.0,273.0,position
MTX,2026-05-26,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202605W4/202606,224.0,224.0,176.0,176.0,0.0,0.0,2.0,0.0,0.0,position
MTX,2026-05-26,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202606/202607,1.0,7.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,position
MTX,2026-05-26,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202606/202608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,position
MTX,2026-05-26,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202606/202609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,position
MTX,2026-05-26,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202606/202612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,position
MTX,2026-05-26,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202606/202703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,position
MTX,2026-05-26,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202606W1/202606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,position
MTX,2026-05-26,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202607/202703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,position
MTX,2026-05-27,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202605W4,43673.0,44246.0,43673.0,44188.0,523.0,1.2,43.0,0.0,0.0,after_market
MTX,2026-05-27,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202606W1,44228.0,44228.0,44228.0,44228.0,513.0,1.17,1.0,0.0,0.0,after_market
MTX,2026-05-27,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202606,43942.0,44500.0,43790.0,44448.0,584.0,1.33,113323.0,0.0,0.0,after_market
MTX,2026-05-27,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202607,43950.0,44500.0,43790.0,44446.0,582.0,1.33,4057.0,0.0,0.0,after_market
MTX,2026-05-27,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202608,44106.0,44680.0,44006.0,44640.0,559.0,1.27,162.0,0.0,0.0,after_market
MTX,2026-05-27,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202609,44255.0,44775.0,44117.0,44767.0,619.0,1.4,126.0,0.0,0.0,after_market
MTX,2026-05-27,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202612,44679.0,45280.0,44675.0,45248.0,587.0,1.31,55.0,0.0,0.0,after_market
MTX,2026-05-27,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202703,45333.0,45895.0,45281.0,45808.0,514.0,1.13,26.0,0.0,0.0,after_market
MTX,2026-05-27,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202605W4/202606,217.0,254.0,217.0,254.0,0.0,0.0,3.0,0.0,0.0,after_market
MTX,2026-05-27,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202606/202607,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,after_market
MTX,2026-05-27,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202606/202608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,after_market
MTX,2026-05-27,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202606/202609,277.0,283.0,277.0,283.0,0.0,0.0,8.0,0.0,0.0,after_market
MTX,2026-05-27,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202606/202612,777.0,781.0,777.0,781.0,0.0,0.0,20.0,0.0,0.0,after_market
MTX,2026-05-27,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202606/202703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,after_market
MTX,2026-05-27,nan,nan,nan,nan,nan,nan,nan,nan,nan,MTX,daily,202607/202703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,after_market
