date,stock_id,buy,name,sell,net
2026-03-26,2345,0,Foreign_Dealer_Self,0,0.0
2026-03-26,2345,172147,Investment_Trust,23000,149147.0
2026-03-26,2345,125700,Dealer_self,62200,63500.0
2026-03-26,1533,1000,Dealer_self,0,1000.0
2026-03-26,1533,0,Investment_Trust,0,0.0
2026-03-26,1533,0,Foreign_Dealer_Self,0,0.0
2026-03-26,1533,2000,Foreign_Investor,26000,-24000.0
2026-03-26,1532,0,Dealer_Hedging,0,0.0
2026-03-26,1102,49000,Dealer_self,2734,46266.0
2026-03-26,1102,0,Investment_Trust,612000,-612000.0
2026-03-26,1310,0,Investment_Trust,0,0.0
2026-03-26,1713,0,Foreign_Dealer_Self,0,0.0
2026-03-26,1713,0,Investment_Trust,0,0.0
2026-03-26,1713,0,Dealer_self,0,0.0
2026-03-26,1717,4474118,Foreign_Investor,6416000,-1941882.0
2026-03-26,1717,0,Foreign_Dealer_Self,0,0.0
2026-03-26,1717,0,Investment_Trust,0,0.0
2026-03-26,2062,56000,Foreign_Investor,26000,30000.0
2026-03-26,2344,83000,Investment_Trust,6127467,-6044467.0
2026-03-26,1583,0,Dealer_self,1003,-1003.0
2026-03-26,1525,0,Investment_Trust,0,0.0
2026-03-26,1219,193294,Foreign_Investor,101000,92294.0
2026-03-26,1232,2000,Dealer_self,0,2000.0
2026-03-26,2344,0,Foreign_Dealer_Self,0,0.0
2026-03-26,2344,2229000,Dealer_self,862407,1366593.0
2026-03-26,2344,2547882,Dealer_Hedging,2096061,451821.0
2026-03-26,1216,61020,Dealer_self,5000,56020.0
2026-03-26,1528,0,Foreign_Dealer_Self,0,0.0
2026-03-26,1528,3494001,Foreign_Investor,3731000,-236999.0
2026-03-26,1527,0,Dealer_Hedging,0,0.0
2026-03-26,1527,0,Dealer_self,1000,-1000.0
2026-03-26,1229,0,Dealer_Hedging,0,0.0
2026-03-26,1232,6000,Foreign_Investor,9000,-3000.0
2026-03-26,1232,0,Foreign_Dealer_Self,0,0.0
2026-03-26,2363,34710,Dealer_Hedging,21270,13440.0
2026-03-26,2364,36000,Foreign_Investor,46000,-10000.0
2026-03-26,2208,0,Investment_Trust,0,0.0
2026-03-26,2364,0,Investment_Trust,0,0.0
2026-03-26,2364,1449,Dealer_self,471,978.0
2026-03-26,2059,39127,Dealer_Hedging,33381,5746.0
2026-03-26,2059,17629,Dealer_self,9400,8229.0
2026-03-26,2059,0,Foreign_Dealer_Self,0,0.0
2026-03-26,1232,0,Investment_Trust,0,0.0
2026-03-26,1527,0,Investment_Trust,0,0.0
2026-03-26,1527,0,Foreign_Dealer_Self,0,0.0
2026-03-26,1527,89000,Foreign_Investor,15000,74000.0
2026-03-26,1526,0,Dealer_Hedging,0,0.0
2026-03-26,1219,0,Investment_Trust,0,0.0
2026-03-26,1219,0,Foreign_Dealer_Self,0,0.0
2026-03-26,2308,206473,Dealer_Hedging,199044,7429.0
2026-03-26,2059,317353,Foreign_Investor,307784,9569.0
2026-03-26,1583,10000,Foreign_Investor,0,10000.0
2026-03-26,1582,15000,Dealer_Hedging,1663,13337.0
2026-03-26,2308,6593852,Foreign_Investor,8148411,-1554559.0
2026-03-26,1215,0,Investment_Trust,2000,-2000.0
2026-03-26,1591,0,Dealer_Hedging,154,-154.0
2026-03-26,1218,0,Dealer_Hedging,0,0.0
2026-03-26,1603,43000,Foreign_Investor,88000,-45000.0
2026-03-26,1603,0,Foreign_Dealer_Self,0,0.0
2026-03-26,1603,0,Investment_Trust,0,0.0
2026-03-26,1603,2000,Dealer_self,0,2000.0
2026-03-26,1603,0,Dealer_Hedging,0,0.0
2026-03-26,1605,4445296,Foreign_Investor,6007050,-1561754.0
2026-03-26,1234,1000,Dealer_self,0,1000.0
2026-03-26,2049,1379308,Foreign_Investor,1001080,378228.0
2026-03-26,1605,0,Investment_Trust,0,0.0
2026-03-26,1605,134000,Dealer_self,58000,76000.0
2026-03-26,2207,370628,Foreign_Investor,210500,160128.0
2026-03-26,2204,0,Dealer_Hedging,0,0.0
2026-03-26,1305,20314,Dealer_self,16729,3585.0
2026-03-26,1219,2000,Dealer_self,6000,-4000.0
2026-03-26,2303,265902,Dealer_Hedging,907543,-641641.0
2026-03-26,2308,0,Foreign_Dealer_Self,0,0.0
2026-03-26,2308,416000,Investment_Trust,29345,386655.0
2026-03-26,2308,763200,Dealer_self,53741,709459.0
2026-03-26,1215,42000,Dealer_self,20323,21677.0
2026-03-26,1583,0,Foreign_Dealer_Self,0,0.0
2026-03-26,2049,153199,Dealer_Hedging,177846,-24647.0
2026-03-26,1528,0,Investment_Trust,2000,-2000.0
2026-03-26,1524,30,Dealer_self,10000,-9970.0
2026-03-26,1524,0,Foreign_Dealer_Self,0,0.0
2026-03-26,1524,365000,Foreign_Investor,830000,-465000.0
2026-03-26,1522,0,Dealer_Hedging,57,-57.0
2026-03-26,2429,124000,Foreign_Investor,24000,100000.0
2026-03-26,2429,0,Foreign_Dealer_Self,0,0.0
2026-03-26,2429,0,Investment_Trust,0,0.0
2026-03-26,2429,1000,Dealer_self,0,1000.0
2026-03-26,1722,0,Dealer_Hedging,0,0.0
2026-03-26,1723,210000,Foreign_Investor,70001,139999.0
2026-03-26,1236,3000,Foreign_Investor,3000,0.0
2026-03-26,1236,0,Foreign_Dealer_Self,0,0.0
2026-03-26,1723,0,Foreign_Dealer_Self,0,0.0
2026-03-26,1723,0,Investment_Trust,0,0.0
2026-03-26,1723,3000,Dealer_self,0,3000.0
2026-03-26,2429,0,Dealer_Hedging,0,0.0
2026-03-26,1236,0,Investment_Trust,0,0.0
2026-03-26,1236,1000,Dealer_self,0,1000.0
2026-03-26,2368,82974,Dealer_Hedging,65364,17610.0
2026-03-26,2379,1477228,Foreign_Investor,1197886,279342.0
2026-03-26,2379,0,Foreign_Dealer_Self,0,0.0
2026-03-26,2379,2000,Investment_Trust,11402,-9402.0
2026-03-26,1524,0,Dealer_Hedging,0,0.0
2026-03-26,1525,0,Foreign_Dealer_Self,0,0.0
2026-03-26,1525,1000,Foreign_Investor,1000,0.0
2026-03-26,1711,0,Investment_Trust,0,0.0
2026-03-26,2049,0,Foreign_Dealer_Self,0,0.0
2026-03-26,1524,0,Investment_Trust,0,0.0
2026-03-26,2049,49000,Dealer_self,45000,4000.0
2026-03-26,2049,90000,Investment_Trust,0,90000.0
2026-03-26,1216,0,Investment_Trust,27000,-27000.0
2026-03-26,1216,0,Foreign_Dealer_Self,0,0.0
2026-03-26,1717,35587,Dealer_Hedging,106166,-70579.0
2026-03-26,1718,3517000,Foreign_Investor,780000,2737000.0
2026-03-26,1718,0,Foreign_Dealer_Self,0,0.0
2026-03-26,1718,0,Investment_Trust,0,0.0
2026-03-26,2356,110428,Dealer_Hedging,9793,100635.0
2026-03-26,2357,2266959,Foreign_Investor,1205129,1061830.0
