date,stock_id,HoldingSharesLevel,people,percent,unit
2026-04-30,3597,"800,001-1,000,000",1,2.26,887512
2026-04-30,3597,"more than 1,000,001",7,56.92,22333823
2026-04-30,3597,total,2184,100.0,39236440
2026-04-30,3356,"50,001-100,000",79,6.77,5418429
2026-04-30,3597,差異數調整（說明4）,0,0.0,0
2026-04-30,3665,差異數調整（說明4）,0,0.0,0
2026-04-30,3593,total,24547,100.0,60825449
2026-04-30,3664,total,5890,100.0,71945377
2026-04-30,3594,"400,001-600,000",7,3.12,3001847
2026-04-30,3664,"400,001-600,000",3,1.87,1350000
2026-04-30,3594,"200,001-400,000",25,7.12,6833639
2026-04-30,3594,"100,001-200,000",39,5.84,5604957
2026-04-30,3594,"50,001-100,000",74,5.47,5253186
2026-04-30,3594,"40,001-50,000",30,1.43,1380976
2026-04-30,3594,"30,001-40,000",49,1.8,1735268
2026-04-30,3605,"10,001-15,000",438,3.47,5699370
2026-04-30,3605,"15,001-20,000",297,3.39,5561765
2026-04-30,3605,"20,001-30,000",230,3.62,5942246
2026-04-30,3664,"20,001-30,000",70,2.5,1805422
2026-04-30,3594,差異數調整（說明4）,0,0.0,0
2026-04-30,3037,"30,001-40,000",327,0.7,11229341
2026-04-30,3356,"400,001-600,000",5,2.99,2396737
2026-04-30,3665,"more than 1,000,001",35,46.26,90252004
2026-04-30,3357,"50,001-100,000",43,2.65,3045937
2026-04-30,3038,"200,001-400,000",23,3.87,6103361
2026-04-30,3037,"40,001-50,000",210,0.59,9504827
2026-04-30,3360,"50,001-100,000",81,7.86,6010544
2026-04-30,3037,"400,001-600,000",78,2.4,38215768
2026-04-30,3037,"600,001-800,000",48,2.05,32723928
2026-04-30,3037,"800,001-1,000,000",45,2.51,40008354
2026-04-30,3037,"more than 1,000,001",199,69.93,1111872499
2026-04-30,3037,total,239278,100.0,1589917351
2026-04-30,3037,差異數調整（說明4）,0,0.0,0
2026-04-30,3360,差異數調整（說明4）,0,0.0,0
2026-04-30,3360,total,45820,100.0,76402244
2026-04-30,3360,"more than 1,000,001",4,17.76,13576607
2026-04-30,3360,"800,001-1,000,000",3,3.47,2657000
2026-04-30,3360,"600,001-800,000",4,3.61,2759125
2026-04-30,3360,"400,001-600,000",5,3.13,2391726
2026-04-30,3360,"200,001-400,000",15,5.52,4224240
2026-04-30,3360,"100,001-200,000",45,8.36,6389589
2026-04-30,3357,"40,001-50,000",34,1.37,1576706
2026-04-30,3357,"30,001-40,000",48,1.51,1740389
2026-04-30,3357,"20,001-30,000",85,1.91,2196290
2026-04-30,3354,"30,001-40,000",17,0.86,609000
2026-04-30,3040,"800,001-1,000,000",0,0.0,0
2026-04-30,3040,"more than 1,000,001",10,65.35,43282816
2026-04-30,3040,total,8008,100.0,66224538
2026-04-30,3040,差異數調整（說明4）,0,0.0,0
2026-04-30,3354,差異數調整（說明4）,0,0.0,0
2026-04-30,3354,total,7219,100.0,70112426
2026-04-30,3354,"more than 1,000,001",5,70.67,49548856
2026-04-30,3037,"15,001-20,000",678,0.74,11898612
2026-04-30,3711,"600,001-800,000",111,1.72,77127076
2026-04-30,3354,"400,001-600,000",1,0.59,420000
2026-04-30,3037,"10,001-15,000",1592,1.18,18810174
2026-04-30,3711,"400,001-600,000",185,2.05,91864572
2026-04-30,3357,"200,001-400,000",34,8.2,9427041
2026-04-30,3357,"100,001-200,000",34,4.45,5123210
2026-04-30,3038,"400,001-600,000",10,3.25,5125088
2026-04-30,3038,"600,001-800,000",5,2.14,3376000
2026-04-30,3038,"800,001-1,000,000",6,3.28,5178405
2026-04-30,3038,"more than 1,000,001",13,32.8,51629764
2026-04-30,3038,total,50762,100.0,157407603
2026-04-30,3038,差異數調整（說明4）,0,0.0,0
2026-04-30,3357,差異數調整（說明4）,0,0.0,0
2026-04-30,3357,total,13207,100.0,114936971
2026-04-30,3357,"more than 1,000,001",14,41.54,47746405
2026-04-30,3357,"800,001-1,000,000",8,6.1,7022217
2026-04-30,3357,"600,001-800,000",12,7.41,8519295
2026-04-30,3354,"800,001-1,000,000",0,0.0,0
2026-04-30,3357,"400,001-600,000",15,6.26,7195863
2026-04-30,3360,"20,001-30,000",179,5.87,4490287
2026-04-30,3037,"50,001-100,000",464,2.02,32258062
2026-04-30,3354,"200,001-400,000",5,1.83,1284403
2026-04-30,3360,"30,001-40,000",76,3.44,2629005
2026-04-30,3360,"40,001-50,000",39,2.39,1829775
2026-04-30,3037,"100,001-200,000",315,2.79,44416840
2026-04-30,3362,"15,001-20,000",161,2.06,2940145
2026-04-30,3362,"10,001-15,000",292,2.61,3718165
2026-04-30,3362,"5,001-10,000",1017,5.42,7725959
2026-04-30,3362,"1,000-5,000",10852,13.84,19726514
2026-04-30,3362,1-999,11727,0.96,1375743
2026-04-30,3037,1-999,162778,1.07,17013147
2026-04-30,3037,"1,000-5,000",66572,6.82,108585923
2026-04-30,3037,"5,001-10,000",5064,2.22,35328652
2026-04-30,3354,"600,001-800,000",1,1.14,799527
2026-04-30,3714,total,161051,100.0,737940460
