stock_id,price,pe,eps_ttm,gross_margin,market_cap,updated,revenue_ttm
1436,44.25,9.257321,4.78,48.95,8591225856.0,2026-05-28,3652404992.0
1437,28.2,11.75,2.4,54.51,5692762624.0,2026-05-28,926710016.0
1438,19.9,12.060606,1.65,32.22,2212994560.0,2026-05-28,1636359936.0
1439,24.8,7.7258563,3.21,26.2,2281600000,2026-07-15,752611008.0
1440,11.9,,-0.15,7.92,19716110336.0,2026-05-28,13601001472.0
1441,9.22,,-0.45,4.71,661479680.0,2026-05-28,1410620032.0
1442,25.55,8.4323435,3.03,48.93,9356716032.0,2026-05-28,3330041088.0
1443,26.55,23.495575,1.13,48.73,3593356800,2026-07-15,950521984.0
1444,6.01,,-0.78,2.74,5916184064.0,2026-05-28,7657757184.0
1445,11.6,,-0.87,12.78,1515725696.0,2026-05-28,740723008.0
1446,15.9,9.814815,1.62,43.98,2189588992.0,2026-05-28,906523008.0
1447,5.73,,-0.97,0.89,4833496576.0,2026-05-28,28993081344.0
1449,12.15,101.25,0.12,7.67,1544442112.0,2026-05-28,2810024960.0
1451,16.45,9.346591,1.76,12.49,3257100032.0,2026-05-28,6438470144.0
1452,10.4,,-0.41,1.66,1379466368.0,2026-05-28,1334398976.0
1453,11.25,281.25,0.04,2.8533802,1273991040,2026-07-15,1480000.0
1454,12.65,,-1.12,1.1,1544817920.0,2026-05-28,1426580992.0
1455,8.61,,-0.99,-1.29,4577837056.0,2026-05-28,5608268800.0
1456,14.05,4.132353,3.4,39.04,1316766080,2026-07-15,884105984.0
1457,13.95,11.822034,1.18,8.53,3257590016.0,2026-05-28,2769081088.0
1459,11.65,8.381295,1.39,16.97,3698700032.0,2026-05-28,1049489024.0
1460,6.93,,-0.27,15.15,4674048512.0,2026-05-28,7013485056.0
1463,17.7,136.15385,0.13,-35.5,3037167872.0,2026-05-28,220806000.0
1464,10.1,28.857145,0.35,19.02,4272572928.0,2026-05-28,12098325504.0
1465,12.15,,-0.33,-3.31,1258828544.0,2026-05-28,372263008.0
1466,18.3,,-1.07,6.45,2034178816,2026-07-15,2471400960.0
1467,6.88,,-0.45,19.58,1587042048.0,2026-05-28,5088781824.0
1468,12.0,57.14286,0.21,12.5,1924859904.0,2026-05-28,708579008.0
1470,22.1,28.333334,0.78,25.73,1895450752.0,2026-05-28,781073024.0
1471,10.15,338.3333,0.03,6.21,1526707456.0,2026-05-28,157540000.0
1472,90.5,14.884869,6.08,13.79,4750171136,2026-07-15,3646412032.0
1473,20.1,35.26316,0.57,15.23,2937695488.0,2026-05-28,6140677120.0
1474,9.6,29.09091,0.33,10.7,1247011200.0,2026-05-28,2864105984.0
1475,24.85,9.136029,2.72,19.84,1640522496.0,2026-05-28,1427430016.0
1476,340.5,16.94873,20.09,29.15,93422002176.0,2026-05-28,38236213248.0
1477,225.0,15.421521,14.59,24.343,55506083840,2026-06-11,
1503,224.5,35.805424,6.27,21.04,116958216192,2026-06-16,38442024960
1504,69.0,28.512396,2.42,23.65,161831305216,2026-07-15,59711926272.0
1506,10.45,174.16667,0.06,16.34,3139064832.0,2026-05-28,1110105984.0
1512,6.89,36.263157,0.19,32.82,676480832.0,2026-05-28,1182419968.0
1513,164.0,20.29703,8.08,25.877001999999997,81028136960,2026-06-11,
1514,110.5,34.210526,3.23,18.48,29931079680,2026-07-15,11080007680.0
1515,22.9,23.608246,0.97,12.946999,4155731456,2026-06-11,
1516,21.3,532.5,0.04,6.079,852174528,2026-06-11,
1517,10.05,,-0.69,0.69,2211000064.0,2026-05-28,1909744000.0
1519,727.0,52.077362,13.96,41.9,229645484032,2026-07-14,24758310912.0
1521,25.9,29.770115,0.87,15.433,1974356992,2026-06-11,
1522,30.9,17.965117,1.72,18.742001,9639502848,2026-06-11,
1524,29.75,15.25641,1.95,25.95,4917984256,2026-06-11,
1525,65.7,20.467289,3.21,15.889000000000001,4822386176,2026-06-11,
1526,14.25,,-0.11,16.997999,855000000,2026-06-11,
1527,33.15,21.809212,1.52,19.143,4593615360,2026-06-11,
1528,25.2,,-0.35,31.422,4821541376,2026-06-11,
1529,23.15,22.920792,1.01,18.621,3590449408,2026-06-11,
1530,30.35,50.583332,0.6,13.972999,2870932992,2026-06-11,
1531,12.95,,-0.12,18.958999000000002,2358299648,2026-06-11,
1532,23.05,23.520407,0.98,24.245001,9594867712,2026-06-11,
1533,38.1,65.68965,0.58,29.229,3754640640,2026-06-11,
1535,49.4,12.380953,3.99,9.71,6112904192,2026-06-11,
1536,48.55,,-2.71,2.779,13543484416,2026-06-11,
1537,126.5,15.952081,7.93,19.91,10380943360,2026-07-15,6596033024.0
1538,11.8,,-1.59,22.48,381140000.0,2026-05-28,94573000.0
1539,16.0,76.190475,0.21,9.15,1045920000.0,2026-05-28,1187257984.0
1540,21.25,19.144144,1.11,33.92,1816322560.0,2026-05-28,495440000.0
1541,20.65,8.939394,2.31,18.09,1627219968.0,2026-05-28,3380500992.0
1558,91.2,16.581818,5.5,26.69,5885649408.0,2026-05-28,7985832960.0
1560,742.0,81.44896,9.11,33.47,111514779648,2026-07-15,8671077376.0
1563,61.1,43.028168,1.42,19.49,13264084992.0,2026-05-28,6931047936.0
1565,92.3,10.359147,8.91,22.16,4653444608.0,2026-05-28,3905421056.0
1568,41.25,30.330881,1.36,32.95,4252338688.0,2026-05-28,1018273024.0
1569,50.6,,-5.61,1.02,7298920448.0,2026-05-28,3246970112.0
1570,52.3,88.64407,0.59,22.07,2693502208.0,2026-05-28,491740992.0
1580,116.5,9.31255,12.51,42.37,5748021248,2026-07-15,4884495872.0
1582,78.2,22.798832,3.43,21.92,11281835008,2026-07-15,8551554048.0
1583,51.2,,-4.83,17.71,5601298944,2026-07-15,3955768064.0
1584,20.2,45.909092,0.44,10.6,4544041472,2026-07-15,2430850048.0
1586,18.75,,-0.34,13.86,1962808320,2026-07-15,2306246912.0
1587,32.1,86.75675,0.37,19.05,2569786880.0,2026-05-28,2651919104.0
1589,5.54,,-4.98,6.55,848373056,2026-07-15,8041699840.0
1590,1365.0,32.554256,41.93,46.93,273000005632,2026-07-15,36247363584.0
1591,31.15,,-2.75,13.416,1185196672,2026-06-11,
1593,30.4,13.944954,2.18,31.11,1209463936,2026-07-15,1285101056.0
1595,87.3,,-1.95,24.99,4711232000.0,2026-05-28,673907968.0
1597,180.5,196.19565,0.92,40.48,15750791168.0,2026-05-28,1219358976.0
1598,19.8,,-3.35,37.75,3236034560,2026-07-15,5895133184.0
1599,23.1,,-0.84,19.92,1663864576.0,2026-05-28,1999230976.0
1603,29.7,9.11043,3.26,11.34,4717726208,2026-07-15,5391229952.0
1604,23.3,13.705881,1.7,18.91,8708794368.0,2026-05-28,8961683456.0
1605,35.0,46.666668,0.75,6.21,155096645632,2026-07-15,170470129664.0
1608,33.55,6.1222625,5.48,10.45,14232233984,2026-07-15,11959672832.0
1609,39.25,24.378881,1.61,15.15,30730571776,2026-07-15,32303816704.0
1611,11.35,378.33334,0.03,24.36,3663050752.0,2026-05-28,1035073984.0
1612,32.3,11.745454,2.75,15.34,10209383424,2026-07-15,7680720896.0
1614,31.2,32.5,0.96,21.03,8078660096.0,2026-05-28,5263723008.0
1615,42.7,8.933054,4.78,23.41,8397539840.0,2026-05-28,5522149888.0
1616,21.4,13.806452,1.55,13.5,4055171584.0,2026-05-28,5310842880.0
1617,14.55,21.397058,0.68,7.23,2295958016.0,2026-05-28,3363151104.0
1618,41.2,9.85646,4.18,18.92,7938910720.0,2026-05-28,4815500800.0
1623,246.0,18.101545,13.59,19.78,16236000256.0,2026-05-28,6812800000.0
1626,9.97,,-0.86,19.11,1493722624.0,2026-05-28,7620785152.0
1702,31.2,27.857143,1.12,24.46,7740461056.0,2026-05-28,23122948096.0
1707,100.0,12.239902,8.17,74.28,14813699072.0,2026-05-28,10277272576.0
1708,36.5,11.230769,3.25,31.85,9088573440.0,2026-05-28,6191629824.0
1709,19.6,15.934959,1.23,14.89,9349518336.0,2026-05-28,9009157120.0
1710,15.95,,-1.01,0.39,13988580352,2026-07-15,21466144768.0
1711,43.75,,-0.21,18.8,23964157952,2026-07-15,7673035776.0
1712,39.45,15.173078,2.6,30.317,16588409856,2026-06-11,
1713,48.5,12.597403,3.85,6.7669999999999995,7321171968,2026-06-11,
1714,9.37,18.74,0.5,11.04,9198371840.0,2026-05-28,25810147328.0
1717,67.8,48.08511,1.41,21.006,79478251520,2026-06-11,
1718,9.05,100.55556,0.09,76.924,12067549184,2026-06-11,
1720,61.4,11.853283,5.18,41.64,10971934720.0,2026-05-28,7034866176.0
1721,28.5,,-1.84,-9.32,5269194240.0,2026-05-28,1663067008.0
1722,47.65,50.157898,0.95,12.897,46697000960,2026-06-11,
1723,85.9,32.415092,2.65,19.352,19941685248,2026-06-11,
1725,31.95,20.882355,1.53,4.7080003,5809468416,2026-06-11,
1726,77.3,14.080147,5.49,27.381,12522600448,2026-06-11,
1727,94.2,2355.0,0.04,13.13,12059442176.0,2026-05-28,2036784000.0
1730,52.4,11.644444,4.5,50.97,3313461760.0,2026-05-28,2411708928.0
1731,21.3,15.661764,1.36,62.63,2831089408.0,2026-05-28,1614075008.0
1732,26.6,38.550724,0.69,41.89,1129007744.0,2026-05-28,686184000.0
1733,29.1,17.962963,1.62,28.95,2908550656,2026-06-11,
1734,30.7,15.989584,1.92,43.29,5839041024.0,2026-05-28,3371321088.0
1735,24.5,31.410257,0.78,18.39,2435005952.0,2026-05-28,2276939008.0
1736,131.0,14.459161,9.06,50.32,39744696320,2026-07-15,55511404544.0
1737,31.45,15.804021,1.99,40.77,6290000384.0,2026-05-28,3277970944.0
1742,15.15,,-1.08,21.87,1403970048.0,2026-05-28,88493000.0
1752,32.5,13.4854765,2.41,35.56,3282125312.0,2026-05-28,2162217984.0
1760,62.0,28.054298,2.21,53.5,5315817984,2026-07-15,2101150976.0
1762,35.55,,-4.39,8.343001,2734434816,2026-06-11,
1773,184.0,27.098675,6.79,35.64,55199997952.0,2026-05-28,11791654912.0
1776,18.15,67.22222,0.27,19.39,1090941184.0,2026-05-28,1030481984.0
1777,72.0,12.307693,5.85,35.327998,3210624000,2026-06-11,
1781,10.4,,-1.3,13.1,493039008.0,2026-05-28,372928000.0
1783,38.4,13.061225,2.94,69.44,3443712256.0,2026-05-28,825251008.0
1784,66.1,64.803925,1.02,55.198,3468213504,2026-06-11,
1785,146.0,46.645367,3.13,15.69,87013113856.0,2026-05-28,45726486528.0
1786,56.7,26.009174,2.18,72.265,4242727168,2026-06-11,
1788,135.0,16.304348,8.28,27.435,6010335232,2026-06-11,
1789,20.85,122.64706,0.17,34.75,16486908928,2026-07-15,3136764928.0
1795,189.0,10.476718,18.04,54.77,49671053312.0,2026-05-28,24424099840.0
1796,35.9,51.285717,0.7,28.18,1488406656.0,2026-05-28,677097984.0
1799,33.2,,-0.59,46.91,4139708160.0,2026-05-28,682561984.0
1802,70.4,,-0.2,13.61,204727500800.0,2026-05-28,42086268928.0
1805,10.1,50.5,0.2,26.03,1363207296.0,2026-05-28,300039008.0
1806,7.93,27.344828,0.29,21.73,3065079808.0,2026-05-28,3065850880.0
1808,28.15,20.698528,1.36,33.56,25138843648.0,2026-05-28,11857163264.0
1809,41.75,219.73685,0.19,19.74,6974003712.0,2026-05-28,2514150912.0
1810,20.0,400.0,0.05,25.81,6037170688.0,2026-05-28,4556763136.0
1813,11.95,,-1.03,-17.71,557288256.0,2026-05-28,294399008.0
1815,103.5,63.109756,1.64,29.54,60473602048.0,2026-05-28,6473603072.0
1817,39.05,10.877438,3.59,36.82,2835030016.0,2026-05-28,2618295040.0
1903,49.0,37.984497,1.29,65.19,12741915648.0,2026-05-28,153294000.0
1904,18.8,25.405403,0.74,19.12,20835561472.0,2026-05-28,43122589696.0
1905,11.95,,-0.56,3.17,13178876928.0,2026-05-28,18331498496.0
1906,10.05,1005.00006,0.01,9.33,1517550080.0,2026-05-28,3126562048.0
1907,24.25,20.37815,1.19,12.96,40264019968.0,2026-05-28,73642770432.0
1909,8.91,,-0.39,9.85,11577535488.0,2026-05-28,45245050880.0
2002,18.65,,-0.29,2.27,284972122112,2026-07-15,313146933248.0
2006,71.8,11.149069,6.44,15.13,52429352960,2026-07-15,56957792256.0
2007,7.34,,-2.24,-13.44,3894985728,2026-07-15,4731940864.0
2008,30.5,44.85294,0.68,16.99,5820994560,2026-07-15,1710562048.0
2009,38.65,113.676476,0.34,2.19,13899398144,2026-07-15,3087636992.0
2010,21.45,9.24569,2.32,10.68,13892207616,2026-07-15,25029124096.0
2012,16.1,89.44444,0.18,13.03,4487601152,2026-07-15,8025357824.0
2013,40.9,12.861635,3.18,4.67,8180000256,2026-07-15,20400496640.0
2014,17.35,,-1.29,-8.15,24906690560,2026-07-15,17775552512.0
2015,64.0,16.623377,3.85,12.03,37222363136,2026-07-15,27983798272.0
2017,8.99,,-0.56,0.44,3833584640.0,2026-05-28,2734198016.0
2020,21.05,9.882628,2.13,20.0,5621009408.0,2026-05-28,4672462848.0
2022,7.59,,-0.02,8.56,2559106048.0,2026-05-28,10592939008.0
2023,13.65,,-1.85,8.27,24859928576.0,2026-05-28,67557597184.0
2024,14.1,,-0.06,6.83,1374750080.0,2026-05-28,988897984.0
2025,12.0,,-0.18,-11.11,2071926528.0,2026-05-28,1004785024.0
2027,41.75,14.547039,2.87,25.97,98205958144.0,2026-05-28,106903535616.0
