date,futures_id,contract_date,open,max,min,close,spread,spread_per,volume,settlement_price,open_interest,trading_session
2026-04-27,MTX,202604W5,39035.0,39644.0,39016.0,39559.0,530.0,1.36,99,0.0,0,after_market
2026-04-27,MTX,202605W1,39500.0,39631.0,39495.0,39631.0,556.0,1.42,4,0.0,0,after_market
2026-04-27,MTX,202605,39258.0,39875.0,39128.0,39775.0,553.0,1.41,161246,0.0,0,after_market
2026-04-27,MTX,202606,39350.0,39960.0,39230.0,39868.0,558.0,1.42,5074,0.0,0,after_market
2026-04-27,MTX,202607,39258.0,39902.0,39185.0,39818.0,560.0,1.43,291,0.0,0,after_market
2026-04-27,MTX,202609,39390.0,40022.0,39300.0,39910.0,557.0,1.42,137,0.0,0,after_market
2026-04-27,MTX,202612,39700.0,40335.0,39667.0,40256.0,569.0,1.43,84,0.0,0,after_market
2026-04-27,MTX,202703,40274.0,40800.0,40095.0,40800.0,681.0,1.7,55,0.0,0,after_market
2026-04-27,MTX,202604W5/202605,201.0,221.0,201.0,210.0,0.0,0.0,9,0.0,0,after_market
2026-04-27,MTX,202605/202606,88.0,96.0,88.0,96.0,0.0,0.0,102,0.0,0,after_market
2026-04-27,MTX,202605/202607,49.0,57.0,49.0,57.0,0.0,0.0,2,0.0,0,after_market
2026-04-27,MTX,202605/202609,155.0,155.0,154.0,155.0,0.0,0.0,10,0.0,0,after_market
2026-04-27,MTX,202605/202612,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2026-04-27,MTX,202605/202703,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2026-04-27,MTX,202605W1/202605,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2026-04-27,MTX,202606/202609,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2026-04-27,MTX,202606/202612,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2026-04-27,MTX,202606/202703,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2026-04-27,MTX,202607/202703,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2026-04-27,MTX,202604W5,39886.0,40188.0,39650.0,39660.0,631.0,1.62,152,39660.0,95,position
2026-04-27,MTX,202605W1,39998.0,40010.0,39998.0,40010.0,935.0,2.39,3,39707.0,24,position
2026-04-27,MTX,202605,39978.0,40449.0,39833.0,39885.0,663.0,1.69,164754,39921.0,26735,position
2026-04-27,MTX,202606,40002.0,40535.0,39933.0,39982.0,672.0,1.71,5638,39997.0,4636,position
2026-04-27,MTX,202607,40048.0,40482.0,39895.0,39979.0,721.0,1.84,266,39949.0,395,position
2026-04-27,MTX,202609,40161.0,40568.0,40000.0,40038.0,685.0,1.74,213,40047.0,1884,position
2026-04-27,MTX,202612,40452.0,40905.0,40388.0,40400.0,713.0,1.8,143,40390.0,626,position
2026-04-27,MTX,202703,40900.0,41385.0,40890.0,40933.0,814.0,2.03,131,40952.0,188,position
2026-04-27,MTX,202604W5/202605,213.0,275.0,213.0,265.0,0.0,0.0,20,0.0,0,position
