ex_dividend_date,CashDividend,stock_id
2024-09-06,0.054,00946
2024-10-08,0.054,00946
2024-11-07,0.054,00946
2024-12-06,0.041,00946
2025-01-08,0.041,00946
2025-02-13,0.025,00946
2025-03-06,0.025,00946
2025-04-02,0.025,00946
2025-05-06,0.025,00946
2025-06-04,0.025,00946
2025-07-03,0.025,00946
2025-08-04,0.025,00946
2025-09-02,0.058,00946
2025-10-07,0.058,00946
2025-11-05,0.058,00946
2025-12-03,0.058,00946
2026-01-06,0.058,00946
2026-02-03,0.058,00946
2026-03-12,0.058,00946
2026-04-02,0.058,00946
2026-05-06,0.058,00946
2025-04-17,0.08,00947
2025-07-15,0.08,00947
2025-10-17,0.08,00947
2026-01-16,0.12,00947
2026-04-17,0.12,00947
2025-11-17,0.16,00951
2025-06-17,0.02,00952
2025-07-16,0.02,00952
2025-08-18,0.02,00952
2025-09-16,0.03,00952
2025-10-20,0.03,00952
2025-11-18,0.03,00952
2025-12-16,0.03,00952
2026-01-19,0.05,00952
2026-02-26,0.05,00952
2026-03-17,0.05,00952
2026-04-20,0.05,00952
2026-05-19,0.1,00952
2025-01-17,0.11,00956
2025-04-18,0.11,00956
2025-07-16,0.065,00956
2025-10-20,0.16,00956
2026-01-19,0.26,00956
2026-04-20,0.2,00956
2025-01-17,0.18,00960
2025-04-18,0.18,00960
2025-07-16,0.2,00960
2025-10-20,0.205,00960
2026-01-19,0.225,00960
2026-01-20,0.225,00960
2026-04-20,0.225,00960
