date,Close,High,Low,Open,Volume
2025-05-29,45.0,46.20000076293945,45.0,46.150001525878906,30003
2025-06-02,44.95000076293945,45.099998474121094,44.900001525878906,45.0,12000
2025-06-03,45.20000076293945,45.20000076293945,44.95000076293945,44.95000076293945,10000
2025-06-04,45.79999923706055,45.79999923706055,45.5,45.5,2000
2025-06-05,46.0,46.20000076293945,45.5,45.5,15000
2025-06-06,45.29999923706055,45.79999923706055,45.0,45.5,33044
2025-06-09,44.150001525878906,45.0,44.0,45.0,20011
2025-06-10,44.5,45.45000076293945,44.0,44.04999923706055,34000
2025-06-11,45.0,45.0,44.5,44.5,10000
2025-06-12,44.79999923706055,44.79999923706055,44.599998474121094,44.599998474121094,6008
2025-06-13,44.79999923706055,45.0,44.79999923706055,44.79999923706055,13001
2025-06-16,44.29999923706055,44.79999923706055,44.29999923706055,44.79999923706055,3000
2025-06-17,44.29999923706055,44.5,44.29999923706055,44.29999923706055,14000
2025-06-18,44.400001525878906,44.5,44.20000076293945,44.29999923706055,8000
2025-06-19,43.79999923706055,44.04999923706055,43.400001525878906,44.0,18000
2025-06-20,43.79999923706055,43.79999923706055,43.5,43.5,8000
2025-06-23,44.150001525878906,44.5,43.0,43.0,15000
2025-06-24,45.0,45.04999923706055,44.5,44.5,7000
2025-06-25,45.0,45.0,44.900001525878906,45.0,10067
2025-06-26,45.5,45.5,44.75,44.95000076293945,7000
2025-06-27,44.20000076293945,44.75,44.20000076293945,44.54999923706055,24000
2025-06-30,44.0,44.150001525878906,44.0,44.04999923706055,32001
2025-07-01,44.349998474121094,44.5,44.349998474121094,44.5,6000
2025-07-02,44.599998474121094,44.599998474121094,44.599998474121094,44.599998474121094,1085
2025-07-03,44.75,44.75,44.54999923706055,44.54999923706055,6000
2025-07-04,45.0,45.0,45.0,45.0,1000
2025-07-07,44.599998474121094,44.599998474121094,44.5,44.54999923706055,10000
2025-07-08,44.349998474121094,44.5,44.349998474121094,44.5,5000
2025-07-09,44.0,44.400001525878906,44.0,44.400001525878906,23001
2025-07-10,44.900001525878906,44.900001525878906,44.45000076293945,44.45000076293945,10000
2025-07-11,44.70000076293945,45.150001525878906,44.70000076293945,45.150001525878906,13002
2025-07-14,44.29999923706055,44.29999923706055,44.29999923706055,44.29999923706055,14000
2025-07-15,44.0,44.29999923706055,43.95000076293945,44.29999923706055,21000
2025-07-16,43.900001525878906,44.349998474121094,43.900001525878906,44.04999923706055,38001
2025-07-17,43.599998474121094,43.900001525878906,43.25,43.599998474121094,16000
2025-07-18,46.0,46.0,43.599998474121094,43.599998474121094,21005
2025-07-21,47.400001525878906,47.5,46.0,46.0,31000
2025-07-22,46.599998474121094,47.599998474121094,46.150001525878906,47.5,19003
2025-07-23,46.25,46.25,46.04999923706055,46.20000076293945,5001
2025-07-24,46.29999923706055,46.29999923706055,46.0,46.25,6022
2025-07-25,45.400001525878906,46.79999923706055,45.400001525878906,45.79999923706055,11000
2025-07-28,46.5,47.20000076293945,45.70000076293945,46.75,12000
2025-07-29,46.04999923706055,46.650001525878906,46.04999923706055,46.54999923706055,7354
2025-07-30,46.099998474121094,47.04999923706055,46.099998474121094,47.04999923706055,6000
2025-07-31,46.099998474121094,46.099998474121094,46.099998474121094,46.099998474121094,0
2025-08-04,44.04999923706055,44.5,44.04999923706055,44.20000076293945,6003
2025-08-05,45.29999923706055,46.099998474121094,44.5,44.5,17000
2025-08-06,45.349998474121094,45.349998474121094,45.349998474121094,45.349998474121094,2000
2025-08-07,45.349998474121094,45.349998474121094,45.349998474121094,45.349998474121094,0
2025-08-08,45.5,45.5,44.0,44.0,21000
2025-08-11,44.650001525878906,45.0,44.20000076293945,44.20000076293945,11000
2025-08-12,45.29999923706055,45.79999923706055,45.0,45.0,38001
2025-08-13,45.599998474121094,46.29999923706055,45.29999923706055,45.29999923706055,17000
2025-08-14,45.599998474121094,46.04999923706055,45.599998474121094,45.599998474121094,14000
2025-08-15,45.400001525878906,45.54999923706055,45.400001525878906,45.54999923706055,4000
2025-08-18,44.900001525878906,45.04999923706055,44.900001525878906,45.0,17000
2025-08-19,46.0,46.29999923706055,45.45000076293945,45.45000076293945,83004
2025-08-20,47.0,47.0,46.0,46.0,54000
2025-08-21,48.0,48.0,47.0,47.0,55000
2025-08-22,49.849998474121094,51.5,48.0,48.0,81021
2025-08-25,49.0,49.20000076293945,48.849998474121094,48.900001525878906,37000
2025-08-26,50.599998474121094,50.79999923706055,49.0,49.0,75000
2025-08-27,55.599998474121094,55.599998474121094,52.70000076293945,53.099998474121094,315010
2025-08-28,61.099998474121094,61.099998474121094,56.099998474121094,56.099998474121094,554991
2025-08-29,61.70000076293945,62.0,61.0,61.20000076293945,342203
2025-09-01,64.5,66.4000015258789,61.79999923706055,61.79999923706055,222013
2025-09-02,64.69999694824219,66.5,63.79999923706055,64.9000015258789,239200
2025-09-03,64.80000305175781,65.9000015258789,64.30000305175781,65.9000015258789,153000
2025-09-04,61.099998474121094,66.30000305175781,61.0,66.30000305175781,166000
2025-09-05,59.099998474121094,61.29999923706055,58.29999923706055,61.20000076293945,138000
2025-09-08,62.099998474121094,62.900001525878906,59.79999923706055,59.79999923706055,100010
2025-09-09,64.80000305175781,67.0999984741211,63.0,66.0,177005
2025-09-10,62.900001525878906,63.900001525878906,61.79999923706055,63.900001525878906,84014
2025-09-11,60.5,63.5,60.0,63.5,55063
2025-09-12,61.0,61.400001525878906,60.0,60.79999923706055,43000
2025-09-15,59.900001525878906,60.900001525878906,59.70000076293945,60.900001525878906,19000
2025-09-16,59.400001525878906,59.5,58.79999923706055,59.0,27000
2025-09-17,61.0,61.400001525878906,59.79999923706055,61.400001525878906,30014
2025-09-18,60.0,60.5,59.29999923706055,60.5,31005
2025-09-19,58.900001525878906,59.599998474121094,57.900001525878906,59.599998474121094,68002
2025-09-22,59.70000076293945,61.0,59.70000076293945,59.70000076293945,52034
2025-09-23,59.29999923706055,59.599998474121094,59.0,59.0,5010
2025-09-24,59.70000076293945,59.70000076293945,58.20000076293945,58.20000076293945,21000
2025-09-25,59.29999923706055,59.79999923706055,58.79999923706055,59.099998474121094,52000
2025-09-26,58.0,58.70000076293945,58.0,58.099998474121094,124000
2025-09-30,57.400001525878906,58.0,56.5,58.0,15000
2025-10-01,55.599998474121094,56.5,55.599998474121094,56.400001525878906,32000
2025-10-02,54.20000076293945,54.70000076293945,53.0,54.599998474121094,34000
2025-10-03,53.599998474121094,54.5,53.29999923706055,54.5,24000
2025-10-07,53.20000076293945,53.599998474121094,52.0,52.29999923706055,32000
2025-10-08,55.70000076293945,56.0,53.099998474121094,53.099998474121094,35020
2025-10-09,52.0,54.599998474121094,51.900001525878906,54.599998474121094,46078
2025-10-13,53.0,54.900001525878906,49.79999923706055,54.900001525878906,7040
2025-10-14,50.900001525878906,54.0,50.70000076293945,52.5,48000
2025-10-15,51.0,51.29999923706055,50.0,51.099998474121094,27000
2025-10-16,51.099998474121094,51.29999923706055,50.599998474121094,51.29999923706055,12060
2025-10-17,50.400001525878906,52.79999923706055,50.400001525878906,52.79999923706055,11000
2025-10-20,50.29999923706055,51.0,50.29999923706055,50.400001525878906,37000
2025-10-21,50.599998474121094,52.099998474121094,48.95000076293945,48.95000076293945,44000
2025-10-22,50.900001525878906,50.900001525878906,50.900001525878906,50.900001525878906,13000
2025-10-23,50.599998474121094,50.70000076293945,50.5,50.599998474121094,27000
2025-10-27,49.650001525878906,50.599998474121094,49.54999923706055,50.599998474121094,32000
2025-10-28,48.79999923706055,49.0,48.79999923706055,48.79999923706055,17000
2025-10-29,47.70000076293945,48.79999923706055,47.599998474121094,48.79999923706055,50003
2025-10-30,47.29999923706055,50.20000076293945,47.29999923706055,48.70000076293945,15000
2025-10-31,48.400001525878906,48.95000076293945,47.54999923706055,48.95000076293945,8005
2025-11-03,49.650001525878906,52.5,49.099998474121094,49.5,68000
2025-11-04,49.0,50.0,49.0,50.0,39000
2025-11-05,48.849998474121094,49.79999923706055,48.099998474121094,49.79999923706055,4000
