date,Close,High,Low,Open,Volume
2025-05-29,109.93162536621094,111.79487325377383,109.00000142242949,110.86324930999238,54000
2025-06-02,109.46581268310547,112.72649646515542,108.53418874537692,109.0000007142412,18055
2025-06-03,111.79487609863281,111.79487609863281,110.3974401473999,110.86325213114421,50321
2025-06-04,110.86325073242188,111.79487468815651,110.39743875455456,111.79487468815651,40711
2025-06-05,110.86325073242188,112.72649864389115,110.86325073242188,111.79487468815651,22000
2025-06-06,114.5897445678711,115.98718047723537,110.39743683977825,110.39743683977825,78413
2025-06-09,114.12393188476562,116.91880368602519,111.32906008350605,114.58974385164221,59060
2025-06-10,112.26068115234375,114.58974092728864,111.79486919735477,112.72649310733273,58104
2025-06-11,115.52136993408203,116.91880586070398,112.72649808083811,113.19231005637876,115000
2025-06-12,114.12393188476562,115.987179752272,113.19230795101244,115.987179752272,51010
2025-06-13,111.79487609863281,114.12393601735432,111.79487609863281,114.12393601735432,60161
2025-06-16,110.86325073242188,111.79487468815651,109.93162677668724,111.79487468815651,43021
2025-06-17,111.79487609863281,114.58974800109863,110.3974401473999,114.58974800109863,43102
2025-06-18,111.79487609863281,113.19231204986572,111.79487609863281,111.79487609863281,53276
2025-06-19,109.0,112.72649572649573,109.0,112.26068376068376,102150
2025-06-20,108.0,110.5,108.0,109.0,50104
2025-06-23,107.5,109.0,106.0,106.0,19000
2025-06-24,109.0,110.0,108.0,108.5,43355
2025-06-25,109.5,111.5,109.0,109.5,33000
2025-06-26,109.5,111.0,109.5,109.5,22000
2025-06-27,110.0,111.0,109.0,109.5,25001
2025-06-30,110.0,110.0,107.5,110.0,41000
2025-07-01,108.0,112.0,108.0,112.0,24000
2025-07-02,109.5,111.5,108.0,109.0,45010
2025-07-03,109.0,111.0,109.0,109.5,25040
2025-07-04,107.0,109.0,106.5,109.0,36000
2025-07-07,104.0,107.0,104.0,107.0,18020
2025-07-08,104.5,106.0,104.0,104.0,13240
2025-07-09,106.0,106.0,104.5,104.5,22015
2025-07-10,111.5,116.5,108.0,108.0,564000
2025-07-11,113.0,113.5,110.0,112.5,80046
2025-07-14,113.0,114.0,111.5,111.5,27336
2025-07-15,113.0,114.0,112.5,112.5,11010
2025-07-16,111.5,114.5,111.5,112.5,41245
2025-07-17,111.0,112.5,110.5,111.5,20000
2025-07-18,109.0,112.0,108.0,111.5,158167
2025-07-21,106.0,108.5,105.0,108.0,167010
2025-07-22,103.5,107.0,103.0,106.5,68000
2025-07-23,105.0,105.5,103.5,104.0,40000
2025-07-24,104.5,106.0,104.5,106.0,22010
2025-07-25,104.0,104.5,104.0,104.5,17000
2025-07-28,102.5,104.0,101.5,104.0,35000
2025-07-29,100.0,102.0,99.9000015258789,102.0,76000
2025-07-30,100.5,101.5,97.80000305175781,100.5,54000
2025-07-31,99.5,100.0,98.9000015258789,100.0,28000
2025-08-04,101.0,101.0,99.0,99.0999984741211,35185
2025-08-05,101.5,101.5,100.5,100.5,25002
2025-08-06,100.5,102.5,100.0,101.0,109010
2025-08-07,106.5,110.5,101.5,101.5,401086
2025-08-08,107.5,112.0,106.0,109.5,236000
2025-08-11,118.0,118.0,112.5,117.0,546724
2025-08-12,116.0,117.5,114.5,117.5,208156
2025-08-13,116.0,118.0,115.5,116.0,159014
2025-08-14,119.0,121.0,116.0,116.0,297425
2025-08-15,122.5,122.5,117.5,119.0,198081
2025-08-18,126.0,129.0,123.0,123.0,278030
2025-08-19,128.0,130.5,125.5,130.0,198102
2025-08-20,129.0,131.0,126.0,127.5,260019
2025-08-21,132.5,136.5,128.0,128.0,213194
2025-08-22,130.5,132.5,130.0,132.5,150110
2025-08-25,133.5,135.0,129.0,131.5,281431
2025-08-26,138.5,142.0,133.0,133.0,643485
2025-08-27,150.0,151.0,137.0,139.5,915393
2025-08-28,149.0,152.0,146.0,150.0,460065
2025-08-29,145.0,151.0,144.5,151.0,228024
2025-09-01,141.5,147.5,141.5,144.0,194034
2025-09-02,139.0,146.0,138.5,143.0,229035
2025-09-03,141.5,142.5,139.0,141.0,151002
2025-09-04,135.0,143.0,132.0,142.0,313153
2025-09-05,139.0,139.0,135.0,135.5,157489
2025-09-08,140.0,140.5,137.5,140.0,100025
2025-09-09,140.0,141.0,138.0,139.5,96000
2025-09-10,147.5,153.0,143.5,147.0,504020
2025-09-11,141.0,148.0,140.5,147.5,243019
2025-09-12,142.5,143.0,140.0,143.0,179250
2025-09-15,146.5,148.5,142.0,142.5,255034
2025-09-16,143.5,145.0,141.5,145.0,128249
2025-09-17,135.5,143.0,135.0,143.0,267232
2025-09-18,136.0,138.0,135.5,135.5,56029
2025-09-19,135.5,137.0,134.0,136.0,53000
2025-09-22,137.5,138.0,135.0,135.5,39130
2025-09-23,135.5,137.5,134.5,137.5,62000
2025-09-24,134.0,135.5,132.5,135.5,105150
