date,Close,High,Low,Open,Volume
2025-05-29,146.0428009033203,146.988061750591,144.15227920877894,146.988061750591,522100
2025-06-02,145.0975341796875,145.5701645841816,142.73438215721703,145.5701645841816,401066
2025-06-03,146.0428009033203,146.0428009033203,143.6796487851436,146.0428009033203,225077
2025-06-04,147.93331909179688,148.40594950423073,146.5154278544953,146.5154278544953,367430
2025-06-05,149.82383728027344,150.2964676817885,148.40594607572825,148.8785764772433,406013
2025-06-06,148.8785858154297,150.76910754007005,148.8785858154297,150.76910754007005,197377
2025-06-09,150.76910400390625,155.0227777845807,150.2964735838313,152.65962568420602,1254052
2025-06-10,151.71435546875,153.13224664135512,151.24172507788163,153.13224664135512,445515
2025-06-11,151.71435546875,152.65961625048675,149.82383390527647,151.71435546875,680800
2025-06-12,150.29647827148438,152.18700001074833,149.8238478366684,152.18700001074833,302000
2025-06-13,148.40594482421875,149.82383601680684,147.9333144266894,149.82383601680684,329209
2025-06-16,148.8785858154297,149.3512162465898,146.51543365962922,146.9880640907893,174000
2025-06-17,148.8785858154297,150.29647710890995,148.4059553842696,149.82384667774988,291056
2025-06-18,151.71435546875,152.18698585961837,148.87857312353972,148.87857312353972,414058
2025-06-19,149.35121154785156,151.7143636293049,149.35121154785156,151.7143636293049,316172
2025-06-20,146.5154266357422,149.35120908675654,146.0427962272398,149.35120908675654,483282
2025-06-23,148.40594482421875,148.40594482421875,142.2617496563371,143.2070104513958,525356
2025-06-24,152.18699645996094,152.18699645996094,149.35121391722876,149.82384434101743,587463
2025-06-25,152.6596221923828,153.13225260164717,150.76910055532545,152.18699178311846,524974
2025-06-26,151.71435546875,153.60487703222353,151.71435546875,152.65961625048675,846252
2025-06-27,151.71435546875,153.60487703222353,151.24172507788163,152.18698585961837,664013
2025-06-30,150.76910400390625,152.65962568420602,150.76910400390625,152.65962568420602,420690
2025-07-01,149.82383728027344,151.71435888633366,149.82383728027344,151.71435888633366,688961
2025-07-02,152.18699645996094,152.18699645996094,149.82384434101743,151.24173561238354,1090872
2025-07-03,152.0,154.5,152.0,153.0,1207066
2025-07-04,148.5,153.0,147.5,153.0,629871
2025-07-07,148.5,150.5,148.0,150.5,317011
2025-07-08,149.0,150.0,146.5,148.5,335800
2025-07-09,148.0,148.0,145.0,148.0,631100
2025-07-10,147.5,148.5,147.0,147.5,254100
2025-07-11,148.0,149.5,147.0,147.0,300015
2025-07-14,149.0,149.0,147.0,147.0,165037
2025-07-15,151.0,151.5,148.5,149.0,231504
2025-07-16,155.5,157.0,152.0,152.0,929258
2025-07-17,156.0,157.0,154.0,157.0,350200
2025-07-18,155.0,159.0,155.0,157.5,247011
2025-07-21,160.5,161.5,157.0,157.5,1614509
2025-07-22,159.5,164.5,159.5,162.0,2420676
2025-07-23,166.5,168.0,162.0,162.5,2385768
2025-07-24,169.0,171.5,167.0,167.0,2117192
2025-07-25,170.5,171.0,168.5,171.0,1107209
2025-07-28,173.0,175.0,171.0,174.5,1197923
2025-07-29,171.0,174.0,167.0,174.0,1267487
2025-07-30,171.5,173.5,171.0,172.0,751240
2025-07-31,167.0,169.5,165.5,168.5,1398320
2025-08-04,165.0,168.0,164.5,168.0,590324
2025-08-05,164.5,166.0,164.0,165.0,583010
2025-08-06,163.5,165.0,163.0,163.0,357074
2025-08-07,164.0,166.0,162.5,165.0,598611
2025-08-08,166.5,168.5,165.5,165.5,740286
2025-08-11,169.0,169.0,164.5,166.0,696400
2025-08-12,184.5,184.5,171.0,174.0,5809023
2025-08-13,178.5,188.0,177.5,187.5,3647943
2025-08-14,176.0,179.0,174.0,179.0,1321465
2025-08-15,177.5,180.0,176.5,177.5,1389100
2025-08-18,178.5,179.0,174.5,177.5,1039084
2025-08-19,170.0,178.5,170.0,178.5,2501890
2025-08-20,165.0,170.5,165.0,170.0,1258195
2025-08-21,166.0,167.5,164.0,166.5,686017
2025-08-22,168.0,170.5,165.5,166.5,656259
2025-08-25,173.0,173.5,169.0,170.5,736255
2025-08-26,175.0,175.5,171.5,172.5,744769
2025-08-27,174.5,177.0,173.0,176.0,681288
2025-08-28,172.0,175.0,171.0,174.5,812421
2025-08-29,173.0,174.0,171.0,172.5,737050
2025-09-01,170.0,173.5,167.5,173.5,849294
2025-09-02,169.0,172.5,168.5,171.0,734257
2025-09-03,174.0,174.5,169.5,170.0,634082
2025-09-04,175.5,177.0,175.0,177.0,1071300
2025-09-05,176.0,177.0,174.0,177.0,767157
2025-09-08,179.5,183.0,178.5,178.5,1964456
2025-09-09,175.5,179.5,174.0,179.0,1460286
2025-09-10,176.0,177.0,175.0,175.5,593500
2025-09-11,172.5,177.5,172.0,177.0,970527
2025-09-12,177.5,180.0,173.0,174.0,1422277
2025-09-15,177.5,184.5,177.0,179.5,2605108
2025-09-16,181.0,182.0,175.0,179.5,1482465
2025-09-17,179.0,183.5,178.5,182.5,1311247
2025-09-18,178.5,182.5,177.5,181.0,683562
2025-09-19,180.0,182.0,178.5,179.0,670104
2025-09-22,177.5,182.5,177.5,182.5,810821
2025-09-23,177.0,179.5,177.0,179.0,704657
2025-09-24,175.0,178.0,172.5,178.0,740129
2025-09-25,173.5,175.5,172.5,175.5,462712
2025-09-26,169.0,173.0,168.5,173.0,842241
2025-09-30,174.5,175.0,170.0,170.0,391632
2025-10-01,176.5,178.5,175.0,176.0,500201
2025-10-02,178.5,179.5,176.5,177.5,656266
2025-10-03,177.5,181.0,177.5,179.5,468233
