date,Close,High,Low,Open,Volume
2025-05-29,209.34388732910156,211.6751110187352,209.34388732910156,211.6751110187352,231651
2025-06-02,207.01266479492188,209.34388849756738,206.08017531386366,207.47890953545098,235046
2025-06-03,214.00633239746094,214.47257713035302,207.945150869864,208.41139560275607,1116440
2025-06-04,215.40505981445312,218.20252812373172,215.40505981445312,217.73628340551863,646000
2025-06-05,216.80380249023438,218.66878143638692,215.40506828061996,216.33755775369622,383102
2025-06-06,214.00633239746094,216.80380079481336,214.00633239746094,216.80380079481336,252200
2025-06-09,213.5400848388672,216.3375531992017,213.07384011214478,215.40506374575688,131774
2025-06-10,215.87130737304688,217.27004154609037,215.87130737304688,216.3375520973947,263413
2025-06-11,217.27005004882812,218.20253953401624,215.87131582104598,217.73629479142218,225020
2025-06-12,216.80380249023438,220.06751564600134,216.80380249023438,217.2700472267725,388050
2025-06-13,216.33755493164062,217.27004439255288,214.93882074027226,215.87131020118449,255001
2025-06-16,218.20252990722656,220.99999823937048,214.93881685305863,214.93881685305863,315020
2025-06-17,222.86497497558594,223.33121969310807,217.73628308284233,217.73628308284233,535027
2025-06-18,224.2637176513672,227.06118606281873,221.93249397515754,223.33122818088333,510220
2025-06-19,224.72996520996094,226.12869943325947,223.79747572776193,223.79747572776193,380136
2025-06-20,220.53375244140625,225.19619963889897,220.06750772165697,224.7299549191497,492001
2025-06-23,222.3987274169922,222.3987274169922,216.80379087819995,217.736280301332,461000
2025-06-24,224.72996520996094,228.45992313875698,224.26372046886144,224.72996520996094,718354
2025-06-25,222.86497497558594,227.52742215080738,222.86497497558594,227.06117743328525,818099
2025-06-26,220.53375244140625,224.7299549191497,220.53375244140625,224.7299549191497,856551
2025-06-27,221.0,221.9324894514768,219.13502109704643,221.0,1037557
2025-06-30,215.5,220.5,213.5,219.5,2044202
2025-07-01,216.0,218.5,215.0,215.5,570207
2025-07-02,218.0,219.5,214.5,216.0,419005
2025-07-03,218.0,220.0,217.0,219.0,706061
2025-07-04,217.5,222.0,217.0,219.0,484360
2025-07-07,216.0,218.0,215.0,218.0,156200
2025-07-08,218.5,218.5,213.0,214.5,647315
2025-07-09,221.0,221.0,216.5,216.5,552601
2025-07-10,219.0,220.5,216.5,219.0,838183
2025-07-11,216.5,219.0,216.5,217.5,340280
2025-07-14,214.0,217.0,214.0,216.0,463263
2025-07-15,213.5,213.5,212.0,213.0,371100
2025-07-16,215.5,216.0,214.0,214.0,251061
2025-07-17,221.0,222.0,215.5,215.5,723385
2025-07-18,221.0,223.5,220.5,223.5,281002
2025-07-21,218.5,222.0,218.5,221.0,196068
2025-07-22,214.5,220.0,214.5,220.0,427007
2025-07-23,218.5,218.5,215.5,215.5,128004
2025-07-24,219.5,220.5,217.5,219.0,213100
2025-07-25,217.5,219.0,217.5,219.0,105902
2025-07-28,217.5,218.5,216.5,218.0,102100
2025-07-29,215.5,218.0,215.0,217.5,211202
2025-07-30,215.0,216.5,214.5,216.5,98017
2025-07-31,217.0,217.0,212.0,215.0,373131
2025-08-04,219.5,221.0,217.5,218.0,175001
2025-08-05,221.5,222.5,220.0,221.0,457019
2025-08-06,220.5,221.5,219.0,221.0,251025
2025-08-07,220.0,220.5,218.0,220.0,303385
2025-08-08,226.5,228.0,222.0,223.0,957278
2025-08-11,224.0,227.5,220.5,227.5,555200
2025-08-12,228.0,231.5,227.5,227.5,1222287
2025-08-13,228.5,230.5,226.5,229.5,668600
2025-08-14,237.5,239.0,229.5,229.5,1374714
2025-08-15,237.5,238.5,236.0,238.5,425132
2025-08-18,236.5,239.0,236.0,238.5,484240
2025-08-19,234.0,238.0,232.5,238.0,499244
2025-08-20,231.5,235.0,230.5,233.0,500475
2025-08-21,233.5,235.0,231.0,231.0,266100
2025-08-22,233.5,236.5,233.0,235.0,331016
2025-08-25,231.5,236.0,231.0,235.5,303155
2025-08-26,231.5,234.5,230.5,231.0,360745
2025-08-27,235.0,235.5,232.5,233.5,346002
2025-08-28,233.0,236.0,233.0,235.5,172102
2025-08-29,233.0,235.5,233.0,234.0,302118
2025-09-01,229.0,233.5,228.0,233.0,288089
2025-09-02,228.5,232.0,225.0,229.0,203007
2025-09-03,230.0,232.0,228.0,228.0,206093
