date,Close,High,Low,Open,Volume
2025-05-29,173.05850219726562,175.02507608587092,170.60028483650902,173.55014566941696,3137884
2025-06-02,160.7674102783203,171.58356632151006,159.78412336530306,171.58356632151006,8519522
2025-06-03,160.7674102783203,164.7005579303893,159.78412336530306,162.73398410435482,3692247
2025-06-04,174.04177856445312,175.02506544899808,163.71726627673135,164.2089097190038,9171007
2025-06-05,175.0250701904297,176.00835710161186,172.56685291247422,173.0584963680653,3483546
2025-06-06,176.99163818359375,176.99163818359375,172.5668472290039,173.55013410780165,2472848
2025-06-09,175.51670837402344,178.9582124597886,175.51670837402344,177.9749255781414,2448446
2025-06-10,179.94151306152344,180.43315653983362,176.9916521916624,176.9916521916624,3827374
2025-06-11,182.89137268066406,182.89137268066406,178.9582248810799,180.92479878087198,4169693
2025-06-12,179.44985961914062,182.89136377622003,179.44985961914062,182.39972032520868,1857066
2025-06-13,174.04177856445312,177.97492610263288,174.04177856445312,177.97492610263288,1965009
2025-06-16,176.5,176.991643454039,172.07520891364902,174.04178272980502,2353032
2025-06-17,176.5,180.5,176.0,180.5,3556100
2025-06-18,175.5,178.5,174.5,177.0,1794482
2025-06-19,184.0,187.0,170.0,176.0,11108737
2025-06-20,178.0,183.0,174.5,182.5,12178843
2025-06-23,174.5,175.0,171.5,173.0,4054247
2025-06-24,180.5,181.5,177.0,177.0,3916860
2025-06-25,186.5,187.5,180.5,182.5,6892620
2025-06-26,182.5,189.0,182.0,188.0,9115999
2025-06-27,184.5,190.0,183.5,184.0,13966205
2025-06-30,185.5,187.5,183.5,186.0,5742544
2025-07-01,187.0,190.0,186.0,186.0,7411133
2025-07-02,188.5,191.5,186.5,187.0,6110219
2025-07-03,188.5,196.0,187.5,192.0,12286060
2025-07-04,184.5,190.0,184.0,190.0,6088115
2025-07-07,183.0,185.0,179.0,184.0,3333596
2025-07-08,183.5,185.0,179.5,182.0,3614128
2025-07-09,179.5,180.5,175.5,179.0,5740391
2025-07-10,177.0,180.0,177.0,180.0,3442452
2025-07-11,179.5,182.5,178.0,178.5,3433864
2025-07-14,176.0,180.5,175.5,179.5,2620083
2025-07-15,176.0,177.5,175.5,177.0,2390463
2025-07-16,178.0,182.0,178.0,178.5,3987468
2025-07-17,181.0,185.0,179.5,179.5,5306890
2025-07-18,183.5,184.5,181.0,184.0,3429354
2025-07-21,183.0,184.5,181.0,184.0,2058857
2025-07-22,176.5,184.5,176.0,182.0,5100627
2025-07-23,181.5,181.5,178.0,178.0,2921005
2025-07-24,182.0,183.0,178.0,183.0,2889675
2025-07-25,179.5,183.0,179.0,182.0,2127142
2025-07-28,178.5,181.5,177.0,180.5,1919503
2025-07-29,173.5,178.5,173.0,178.5,4362189
2025-07-30,157.5,164.0,156.5,162.0,15776503
2025-07-31,152.5,156.5,152.0,156.0,7435793
2025-08-04,155.5,156.5,154.0,155.5,2915414
2025-08-05,158.0,158.0,155.5,157.0,2784706
2025-08-06,154.5,158.5,154.5,157.5,2297869
2025-08-07,155.5,157.5,155.0,156.0,2855500
2025-08-08,155.0,157.0,154.5,156.0,2187043
2025-08-11,154.0,156.5,153.5,155.5,1963562
2025-08-12,156.5,157.5,154.0,155.0,2350994
